day,BTCUSDT,ETHUSDT
2021-10-02,47722.05,3303.78
2021-10-02,47663.94,3296.7
2021-10-02,47649.99,3290.88
2021-10-02,47696.65,3296.85
2021-10-02,47721.56,3297.33
2021-10-02,47721.93,3297.75
2021-10-02,47711.66,3300.02
2021-10-02,47736.44,3298.0
2021-10-02,47743.7,3301.96
2021-10-02,47766.15,3307.75
2021-10-02,47733.53,3302.08
2021-10-02,47729.23,3300.28
2021-10-02,47712.84,3302.13
2021-10-02,47697.94,3305.0
2021-10-02,47828.48,3325.31
2021-10-02,47663.41,3299.94
2021-10-02,47656.29,3300.12
2021-10-02,47673.75,3305.43
2021-10-02,47700.05,3312.79
2021-10-02,47719.48,3319.31
2021-10-02,47755.88,3319.67
2021-10-02,47941.65,3325.99
2021-10-02,47850.97,3318.51
2021-10-02,47825.16,3315.23
2021-10-02,47942.73,3324.45
2021-10-02,48023.12,3336.37
2021-10-02,47991.9,3333.39
2021-10-02,47996.76,3329.37
2021-10-02,47910.35,3324.94
2021-10-02,47876.31,3324.26
2021-10-02,47845.94,3325.83
2021-10-02,47913.48,3339.92
2021-10-02,47941.99,3343.2
2021-10-02,47942.21,3345.0
2021-10-02,48092.97,3364.73
2021-10-02,48019.26,3367.72
2021-10-02,47950.03,3372.44
2021-10-02,47979.03,3373.39
2021-10-02,47925.22,3360.83
2021-10-02,47900.03,3360.55
2021-10-02,47877.44,3360.3
2021-10-02,47902.3,3366.6
2021-10-02,47895.01,3365.23
2021-10-02,47917.88,3384.41
2021-10-02,47940.11,3394.12
2021-10-02,47852.61,3386.93
2021-10-02,47882.67,3390.81
2021-10-02,47828.52,3386.54
2021-10-02,47830.0,3389.94
2021-10-02,47743.38,3382.69
2021-10-02,47650.0,3371.98
2021-10-02,47732.55,3384.26
2021-10-02,47720.96,3384.62
2021-10-02,47763.79,3394.24
2021-10-02,47940.5,3420.26
2021-10-02,47930.89,3419.61
2021-10-02,47962.92,3423.87
2021-10-02,47960.34,3422.85
2021-10-02,47989.99,3428.99
2021-10-02,48004.69,3433.99
2021-10-02,48002.8,3437.93
2021-10-02,47979.34,3439.83
2021-10-02,48003.61,3444.69
2021-10-02,47920.01,3428.87
2021-10-02,47932.62,3431.8
2021-10-02,47884.03,3425.42
2021-10-02,47856.75,3422.61
2021-10-02,47874.21,3423.99
2021-10-02,47829.0,3419.99
2021-10-02,47877.78,3435.59
2021-10-02,47873.45,3435.01
2021-10-02,47879.99,3429.82
2021-10-02,47903.95,3433.72
2021-10-02,47866.01,3435.1
2021-10-02,47835.99,3422.63
2021-10-02,47779.99,3420.48
2021-10-02,47820.86,3421.05
2021-10-02,47799.14,3420.0
2021-10-02,47802.87,3425.49
2021-10-02,47820.45,3428.17
2021-10-02,47790.79,3429.89
2021-10-02,47825.99,3434.58
2021-10-02,47887.29,3442.33
2021-10-02,47864.02,3439.4
2021-10-02,47918.98,3442.68
2021-10-02,48047.76,3446.39
2021-10-02,48133.69,3451.19
2021-10-02,48165.0,3447.71
2021-10-02,48144.24,3445.0
2021-10-02,48143.54,3442.44
2021-10-02,48183.01,3446.22
2021-10-02,48242.47,3452.45
2021-10-02,48185.0,3450.88
2021-10-02,48094.45,3446.07
2021-10-02,48132.26,3450.01
2021-10-02,48239.99,3467.35
2021-10-02,48112.62,3446.24
2021-10-02,48039.68,3439.46
2021-10-02,48015.72,3436.99
2021-10-02,48071.18,3443.49
2021-10-02,47953.78,3426.52
2021-10-02,47924.81,3426.06
2021-10-02,47999.99,3434.25
2021-10-02,47959.09,3431.22
2021-10-02,47946.95,3425.56
2021-10-02,47984.61,3427.5
2021-10-02,48053.16,3433.8
2021-10-02,47996.24,3426.29
2021-10-02,48044.45,3437.66
2021-10-02,48075.01,3437.02
2021-10-02,48074.4,3435.74
2021-10-02,48070.0,3437.04
2021-10-02,48044.02,3435.95
2021-10-02,48018.15,3428.0
2021-10-02,48068.0,3433.98
2021-10-02,48073.59,3438.82
2021-10-02,48040.0,3430.76
2021-10-02,48067.53,3438.62
2021-10-02,48082.83,3437.79
2021-10-02,48125.9,3447.17
2021-10-02,48180.97,3451.39
2021-10-02,48181.27,3453.15
2021-10-02,48196.89,3453.05
2021-10-02,48213.68,3452.06
2021-10-02,48224.67,3455.36
2021-10-02,48192.14,3448.46
2021-10-02,48138.0,3439.88
2021-10-02,48130.11,3439.96
2021-10-02,48070.21,3432.27
2021-10-02,48135.89,3434.25
2021-10-02,48123.0,3433.09
2021-10-02,48049.34,3422.9
2021-10-02,48113.0,3434.03
2021-10-02,48161.12,3432.73
2021-10-02,48129.45,3427.49
2021-10-02,48140.34,3429.45
2021-10-02,48001.0,3413.68
2021-10-02,47788.62,3384.3
2021-10-02,47695.48,3379.09
2021-10-02,47639.77,3376.83
2021-10-02,47670.02,3382.66
2021-10-02,47607.7,3375.73
2021-10-02,47743.67,3392.15
2021-10-02,47634.9,3387.76
